COMPANY,My relation to supplier,CUSTOM SCORECARD,DOMAIN,STATUS,GRADE,EVIDENCE,PERCENTILE,30-DAY,INDUSTRY,APPLICATION SECURITY,CUBIT SCORE,DNS HEALTH,ENDPOINT SECURITY,HACKER CHATTER,IP REPUTATION,NETWORK SECURITY,INFORMATION LEAK,PATCHING CADENCE,SOCIAL ENGINEERING,PUBLIC TAGS,TAGS
RUSSELL REALTY SERVICES,Real Estate Agency,NO,russellrealty.com,Inactive,A,0 artifacts,99,0,financial services,A,A,A,A,A,A,A,A,A,A,,
KeyBank,Lender,NO,key.com,Active,A,0 artifacts,98,1,financial services,A,A,A,A,A,A,A,A,A,A,NSE Listed:NYSE Listed:OTCMKTS Listed:TSE Listed,
Google,Platform built on,NO,google.com,Active,A,1 artifacts,94,3,technology,B,A,A,A,A,A,A,A,A,A,BMV Listed:ETR Listed:NASDAQ Listed:Tech giants,
Berkshire Hathaway Inc.,Real Estate Agency,NO,berkshirehathaway.com,Inactive,A,0 artifacts,93,0,information services,A,A,A,A,A,A,B,A,A,A,BCBA Listed:BMV Listed:NYSE Listed:VIE Listed,
Champtitles,Title Agency,NO,champtitles.com,Inactive,A,0 artifacts,91,-1,technology,C,A,A,A,A,A,A,A,A,A,,
Navy Federal Credit Union,Lender,NO,navyfederal.org,Inactive,A,0 artifacts,91,-1,financial services,B,A,B,A,A,A,A,A,A,A,The Big Three Credit Unions,
First Federal Lakewood,Lender,NO,ffl.net,Inactive,B,0 artifacts,89,0,financial services,A,A,A,A,A,A,C,A,A,A,,
Howard Hanna Real Estate Services,Real Estate Agency,NO,howardhanna.com,Inactive,B,0 artifacts,84,1,information services,D,A,D,A,A,A,A,A,A,A,,
Infinitytitleagency,Title Agency,NO,infinitytitleagency.com,Inactive,C,0 artifacts,77,0,real estate,F,A,A,A,A,A,B,A,A,A,,
eXp Realty,Real Estate Agency,NO,exprealty.com,Inactive,C,0 artifacts,70,1,information services,C,A,A,A,A,A,D,A,D,A,,
Ohio Real Title LLC,Title Agency,NO,ohiorealtitle.com,Inactive,F,0 artifacts,44,1,legal,F,A,D,A,A,A,F,A,F,A,,
A Snoop,Inspector,NO,a-snoop.com,Inactive,?,0 artifacts,0,0,unknown,?,?,?,?,?,?,?,?,?,?,,
Mangrovebayrealty,Real Estate Agency,NO,mangrovebayrealty.com,Inactive,?,0 artifacts,0,0,unknown,?,?,?,?,?,?,?,?,?,?,,
